bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0001,0.08436131,86.55,85.2,87.98
0002,0.08519165,87.41,86.04,88.8
0003,0.07054149,72.38,71.25,74.36
0004,0.07830314,80.34,79.09,82.01
0005,0.07251131,74.4,73.24,76.3
0006,0.05919706,60.74,59.79,63.19
0007,0.08180338,83.93,82.62,85.46
0008,0.08047566,82.57,81.28,84.15
0009,0.07939477,81.46,80.19,83.09
0010,0.07867335,80.72,79.46,82.37
0011,0.07907216,81.13,79.86,82.77
0012,0.0850742,87.29,85.92,88.68
0013,0.07679117,78.79,77.56,80.52
0014,0.07191322,73.78,72.63,75.71
0015,0.06566395,67.37,66.32,69.56
0016,0.07759284,79.61,78.37,81.31
0017,0.08215246,84.29,82.97,85.8
0018,0.08119831,83.31,82.01,84.86
0019,0.07626945,78.25,77.03,80.01
0020,0.07958888,81.66,80.38,83.28
0021,0.09424339,96.69,95.19,97.71
0022,0.06682404,68.56,67.49,70.7
0023,0.06881281,70.6,69.5,72.66
0024,0.07434169,76.27,75.09,78.11
0025,0.07360197,75.52,74.34,77.38
0026,0.07213412,74.01,72.86,75.93
0027,0.08252998,84.68,83.36,86.17
0028,0.06863766,70.42,69.32,72.49
0029,0.05821715,59.73,58.8,62.22
0030,0.0795128,81.58,80.31,83.2
0031,0.07179318,73.66,72.51,75.6
0032,0.07563949,77.61,76.4,79.39
0033,0.07958635,81.66,80.38,83.27
0034,0.06669938,68.43,67.37,70.58
0035,0.09739712,99.93,98.37,100.82
0036,0.10042786,103.04,101.43,103.81
0037,0.07283783,74.73,73.57,76.63
0038,0.0558232,57.27,56.38,59.86
0039,0.07988933,81.97,80.69,83.57
0040,0.06933275,71.14,70.03,73.17
0041,0.10324457,105.93,104.28,106.58
0042,0.07811869,80.15,78.9,81.83
0043,0.06332089,64.97,63.95,67.25
0044,0.08160239,83.72,82.42,85.26
0045,0.08724129,89.51,88.11,90.82
0046,0.0796435,81.71,80.44,83.33
0047,0.06973922,71.55,70.44,73.57
0048,0.08650326,88.75,87.37,90.09
0049,0.10687535,109.65,107.94,110.16
0050,0.07701802,79.02,77.79,80.74
0051,0.07999355,82.07,80.79,83.68
0052,0.08386321,86.04,84.7,87.49
0053,0.08736308,89.63,88.24,90.94
0054,0.07286534,74.76,73.59,76.65
0055,0.06797096,69.74,68.65,71.83
0056,0.08302986,85.19,83.86,86.67
0057,0.08844087,90.74,89.33,92.0
0058,0.08588745,88.12,86.75,89.48
0059,0.06412401,65.79,64.77,68.04
0060,0.0673809,69.13,68.05,71.25
0061,0.08420657,86.4,85.05,87.83
0062,0.08387137,86.05,84.71,87.5
0063,0.09446207,96.92,95.41,97.93
0064,0.08041878,82.51,81.22,84.09
0065,0.08114656,83.26,81.96,84.81
0066,0.06376948,65.43,64.41,67.69
0067,0.08460669,86.81,85.45,88.22
0068,0.09106895,93.44,91.98,94.59
0069,0.08816179,90.45,89.04,91.72
0070,0.06715984,68.91,67.83,71.03
0071,0.09025185,92.6,91.15,93.78
0072,0.06074656,62.33,61.35,64.71
0073,0.05266571,54.04,53.19,56.75
0074,0.07433319,76.27,75.08,78.1
0075,0.06937955,71.18,70.07,73.22
0076,0.06343471,65.08,64.07,67.36
0077,0.07435957,76.29,75.1,78.12
0078,0.07861319,80.66,79.4,82.32
0079,0.08603088,88.27,86.89,89.62
0080,0.07718627,79.19,77.96,80.91
0081,0.06582287,67.53,66.48,69.71
0082,0.08149565,83.61,82.31,85.16
0083,0.09463476,97.1,95.58,98.1
0084,0.09362878,96.06,94.57,97.11
0085,0.08668975,88.94,87.56,90.27
0086,0.08310975,85.27,83.94,86.75
0087,0.07623519,78.22,77.0,79.97
0088,0.07522344,77.18,75.98,78.98
0089,0.08243229,84.58,83.26,86.08
0090,0.09326852,95.69,94.2,96.75
0091,0.09841475,100.97,99.4,101.82
0092,0.0794514,81.52,80.25,83.14
0093,0.062339,63.96,62.96,66.28
0094,0.06501942,66.71,65.67,68.92
0095,0.07099193,72.84,71.7,74.81
0096,0.08113132,83.24,81.94,84.8
0097,0.08986649,92.2,90.77,93.4
0098,0.07795666,79.98,78.74,81.67
