stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
156.0,65.7,92.2,101.1,85.0,62.2,20.4,37.3,49.6,36.0,31.5
166.5,53.4,83.9,89.3,70.8,52.4,20.7,37.2,53.2,35.0,27.2
171.1,66.3,87.4,98.7,72.7,57.7,23.3,39.7,53.0,38.4,30.0
166.0,78.2,100.8,101.2,92.3,67.9,21.4,38.4,52.0,37.2,36.4
157.2,88.6,108.9,128.1,116.3,76.6,21.4,37.8,49.1,43.3,32.0
170.7,83.7,103.1,108.5,96.8,67.4,22.8,35.6,54.2,39.6,34.2
164.4,73.2,98.8,104.9,96.4,65.0,22.3,35.8,49.7,37.3,32.0
167.1,76.0,96.8,109.5,91.4,67.5,20.5,36.5,52.1,37.3,33.7
152.1,54.5,83.1,96.5,75.5,59.2,19.3,35.5,47.8,34.5,28.3
159.0,68.4,101.0,104.5,94.4,60.4,20.8,32.3,47.3,36.7,29.0
170.7,99.0,106.5,124.8,93.5,74.0,24.5,40.6,54.1,45.3,40.8
166.8,74.2,103.4,101.4,94.2,60.0,22.0,38.7,52.3,35.8,31.6
165.4,78.1,106.3,104.9,99.5,62.3,20.6,38.4,51.5,37.5,33.4
166.6,71.8,93.7,101.2,84.8,60.6,22.0,41.8,51.1,37.3,32.0
159.9,70.9,98.9,100.0,92.9,63.9,19.4,36.5,50.3,37.5,33.9
167.3,67.2,94.0,100.7,83.5,61.9,22.3,36.7,50.8,36.2,28.5
164.7,62.0,83.5,96.9,77.2,56.4,21.8,37.1,50.0,37.7,29.6
167.8,59.5,89.7,94.1,80.5,56.9,19.7,36.5,52.3,33.8,26.4
167.9,74.1,97.9,101.1,86.8,64.7,21.1,39.3,54.2,38.2,33.5
161.5,60.5,85.3,102.1,79.2,61.5,20.9,35.9,48.1,37.9,29.0
151.7,80.0,109.0,110.7,113.7,69.5,21.7,34.2,44.7,41.3,33.6
167.4,74.7,94.1,105.0,88.1,67.7,21.8,38.8,52.8,40.6,32.0
162.3,49.1,85.7,86.7,70.2,49.2,20.1,33.0,49.1,32.6,26.2
166.8,70.3,97.3,103.8,95.4,61.4,21.2,37.2,52.0,35.3,30.8
164.4,71.5,97.5,98.1,79.6,60.3,21.3,38.3,54.0,39.6,31.8
157.9,70.8,102.6,106.9,100.0,63.0,19.5,37.0,49.6,34.4,31.2
144.6,48.8,83.2,91.7,74.2,52.9,20.5,33.8,40.7,34.3,25.7
162.0,69.1,92.1,99.7,91.2,64.3,23.1,37.3,50.6,40.0,31.0
168.4,73.0,103.2,104.2,91.3,63.9,21.5,38.6,53.1,37.1,30.5
161.9,61.0,90.4,96.0,82.1,56.5,20.7,37.0,51.7,35.3,29.4
159.2,65.8,95.1,105.6,93.0,61.1,21.3,36.3,49.0,36.8,27.2
