weight_kg,stature_cm,calf_circumference,biacromial_breadth,bicristal_breadth,waist_circumference,biceps_circumference_flexed
400.5225390316699,173.5,40.0,40.9,22.5,98.2,36.4
392.3578666618284,183.0,40.0,41.2,25.8,97.6,32.5
323.41174442761115,172.6,36.2,43.2,21.9,84.5,30.8
370.131814099482,178.3,41.0,42.2,23.8,88.4,31.2
342.9162395333436,166.9,38.0,37.2,23.7,96.6,33.5
271.70215275194823,175.8,32.1,40.3,23.5,74.1,29.2
381.47163683537303,178.8,36.3,41.0,24.7,99.6,34.2
373.76055737496716,182.9,38.7,39.9,23.2,93.1,31.5
375.57492901270973,174.5,36.9,39.5,25.0,92.9,31.7
380.1108581070661,164.3,37.3,39.2,24.6,92.3,34.8
376.93570774101664,169.8,39.2,38.7,25.9,96.2,32.0
410.04799012981834,172.7,39.7,39.3,22.3,92.8,38.2
356.52402681641286,173.4,39.1,39.0,26.7,93.4,32.3
340.64827498616546,168.4,36.2,38.3,25.0,87.2,33.6
313.8862933294627,166.7,38.3,39.3,26.0,90.7,31.7
358.3383984541554,168.0,35.6,40.7,25.9,97.4,33.0
382.3788226542443,178.5,40.1,40.2,25.0,88.7,35.7
380.5644510165017,188.5,39.6,40.7,28.9,87.5,33.2
348.812947356007,184.1,36.6,41.1,21.5,84.8,32.8
386.4611588391651,170.2,39.9,41.6,23.8,92.1,37.1
444.0674583374913,173.8,43.1,40.9,22.4,99.3,39.2
314.793479148334,173.2,34.6,39.1,22.2,85.2,31.5
322.9581515181755,173.9,38.4,40.8,22.9,80.2,32.0
352.44169063149207,187.7,37.4,42.7,23.4,76.4,37.5
354.7096551786703,172.5,38.1,36.7,25.7,88.5,34.3
342.9162395333436,170.4,39.6,38.5,24.2,86.1,32.3
382.83241556367994,174.8,40.2,39.9,27.3,94.8,33.9
326.58689479366063,164.7,36.4,37.2,21.1,85.5,32.0
274.8773031179977,169.9,32.3,37.8,23.5,76.7,28.2
376.482114831581,176.1,37.3,39.4,24.3,89.8,35.7
337.0195317106803,167.1,37.9,39.4,23.8,85.3,32.9
358.791991363591,164.4,39.7,39.4,22.5,89.6,35.6
370.131814099482,173.9,38.5,38.6,27.1,94.1,33.8
310.2575500539776,174.9,33.7,41.6,24.9,83.4,30.4
459.48961725830304,184.5,43.3,42.1,27.1,94.9,41.2
461.75758180548127,195.4,39.0,41.0,29.1,103.8,33.3
352.8952835409277,184.4,38.3,38.3,21.1,77.1,34.0
265.3518520198493,160.1,33.9,38.5,23.9,78.6,29.8
378.29648646932355,184.6,37.9,41.7,24.9,88.9,34.4
329.7620451597101,167.2,35.6,40.6,26.0,92.5,34.7
477.63333363572866,193.4,43.0,39.6,25.5,102.4,35.7
368.31744246173946,186.2,37.8,40.2,23.1,86.5,32.6
299.37132022752223,169.4,34.3,39.3,24.3,81.6,32.5
381.0180439259374,174.0,38.7,36.8,26.6,97.6,32.5
420.9342199562737,173.9,41.1,42.0,22.6,94.5,39.4
373.3069644655315,171.9,39.9,39.3,21.8,89.1,36.5
331.122823888017,172.2,37.3,38.2,24.3,88.3,31.7
393.26505248069964,177.6,39.3,40.5,27.0,102.9,32.2
488.06597055274835,189.7,42.9,42.9,28.6,105.6,37.7
355.61684099754154,173.0,38.8,40.6,24.0,92.0,34.2
375.1213361032741,168.8,41.0,40.8,24.0,99.5,36.1
400.5225390316699,169.2,38.6,42.5,23.5,95.8,40.5
400.06894612223425,177.8,39.1,41.5,25.5,92.8,34.5
351.08091190318515,182.4,37.9,39.2,20.6,79.2,33.8
329.30845225027446,174.4,35.0,39.6,20.8,84.5,32.0
393.7186453901353,176.3,40.0,39.3,26.3,93.9,35.5
415.491105043046,185.9,38.9,39.3,23.8,98.0,33.5
407.7800255826401,166.9,39.5,37.5,26.5,105.1,39.6
301.1856918652648,170.5,34.1,38.9,20.0,80.7,30.8
331.122823888017,175.5,36.2,38.1,19.9,76.2,32.4
401.42972485054116,175.6,37.9,39.5,25.6,97.2,36.4
390.08990211465016,186.6,36.5,41.3,23.5,90.7,34.2
446.7890157941051,183.7,42.8,41.2,23.7,99.4,36.2
379.65726519763047,175.8,39.5,39.4,23.9,91.5,34.9
391.9042737523927,183.7,38.9,40.3,19.3,80.6,40.7
305.7216209596212,183.5,35.7,39.0,21.8,72.0,31.5
409.5943972203827,175.6,38.9,41.0,23.1,88.8,37.8
417.30547668078856,188.7,37.3,44.8,26.2,103.3,33.2
419.1198483185311,181.7,41.3,39.3,28.0,90.1,40.4
322.50455860873984,172.0,37.7,38.5,20.5,78.5,32.5
413.2231404958678,183.6,38.5,43.9,25.6,100.4,35.0
297.55694858977967,161.7,35.6,37.3,20.7,77.3,33.8
256.27999383113644,167.0,34.6,36.9,18.4,69.4,29.3
351.08091190318515,179.6,39.7,38.3,24.4,83.9,33.5
327.04048770309623,162.9,35.9,39.4,25.2,83.0,34.0
301.1856918652648,173.1,34.3,39.6,26.9,79.1,28.5
359.69917718246234,171.8,38.6,40.0,21.5,86.9,33.7
362.8743275485118,184.9,39.5,42.3,26.6,82.8,34.3
397.34738866562043,185.0,39.0,41.6,25.8,92.8,33.8
371.9461857372246,169.6,38.5,38.4,22.7,91.9,33.7
292.5674265859876,185.8,36.6,40.8,25.0,74.5,30.9
371.9461857372246,179.5,39.9,42.9,26.7,87.5,31.5
437.71715760539234,185.1,41.8,41.5,27.1,96.7,36.8
454.500095254511,176.3,44.5,43.1,25.7,96.7,37.5
404.60487521659064,180.9,39.7,39.5,25.2,99.0,35.1
398.2545744844917,173.5,39.9,41.8,24.8,89.2,38.3
347.9057615371357,177.8,36.2,41.1,24.8,91.9,31.5
355.61684099754154,170.8,38.2,39.5,21.4,92.5,32.2
393.26505248069964,181.8,41.3,40.5,22.4,84.6,38.5
434.0884143299072,188.8,38.4,41.7,25.8,100.7,33.1
470.3758470847584,187.2,41.4,42.5,22.0,99.3,37.7
367.8638495523038,171.3,39.1,40.0,22.2,91.5,34.4
289.8458691293738,174.7,37.0,36.8,21.8,74.1,30.2
304.8144351407499,172.6,35.6,39.9,22.4,76.9,29.8
342.46264662390803,177.4,34.9,38.8,24.0,84.9,31.1
376.02852192214533,171.8,38.8,41.1,26.3,96.1,34.6
433.6348214204716,174.0,40.8,41.3,23.1,96.7,38.5
369.6782211900464,175.5,40.1,38.8,20.4,87.4,35.6
325.2261160653537,173.2,38.9,38.8,24.9,86.6,33.3
298.9177273180866,168.5,35.6,38.6,20.3,71.9,31.7
324.3189302464824,176.4,37.0,40.4,22.5,79.5,30.4
484.8908201866989,171.1,43.5,38.6,26.0,117.3,38.2
340.1946820767298,176.6,38.7,38.8,21.7,80.3,33.5
327.94767352196754,167.2,39.7,40.2,23.4,80.3,33.2
406.4192468543332,171.0,44.2,40.4,22.5,93.8,36.5
409.14080431094703,172.6,40.4,38.2,23.5,99.1,36.2
309.3503642351063,182.5,33.2,42.0,23.2,77.3,31.3
420.0270341374024,178.9,41.1,41.8,27.8,100.1,36.6
335.20516007293776,166.1,36.4,37.8,24.4,90.8,32.2
359.2455842730267,173.5,37.7,40.5,23.3,91.6,33.1
382.83241556367994,187.8,40.5,40.2,23.1,81.8,37.6
338.38031043898724,174.0,37.9,41.4,22.8,90.3,31.5
335.6587529823734,173.8,36.5,40.5,23.9,85.2,31.7
402.3369106694125,183.7,38.3,41.7,27.1,96.8,34.2
379.2036722881948,174.3,39.0,38.2,25.8,94.4,34.4
381.9252297448087,186.9,39.0,41.0,23.5,83.8,35.8
367.4102566428682,183.3,39.3,42.4,22.8,84.5,32.9
325.2261160653537,164.4,34.4,37.7,23.8,89.1,35.8
367.8638495523038,177.1,38.0,38.9,25.4,87.6,34.4
420.48062704683804,177.8,40.8,42.0,27.6,95.6,38.0
391.45068084295707,190.7,39.0,42.7,26.0,86.2,33.7
295.2889840426015,180.6,34.8,41.3,24.8,76.7,30.0
402.7905035788481,191.3,41.2,42.6,22.9,85.6,33.4
339.28749625785855,187.9,36.8,41.0,22.9,80.9,31.5
362.8743275485118,182.5,36.0,38.9,25.8,90.4,30.6
285.76353294445306,169.0,37.5,38.5,23.4,80.1,29.4
403.24409648828373,178.9,41.3,36.2,26.0,98.9,33.0
322.50455860873984,179.9,36.4,42.7,21.8,72.9,32.2
379.2036722881948,179.5,38.9,42.9,25.4,92.3,34.2
381.9252297448087,174.1,40.8,41.0,25.5,94.2,32.9
346.0913898993931,177.5,36.8,42.7,22.2,79.2,33.5
315.2470720577696,172.4,36.5,38.6,23.4,80.9,31.5
337.473124620116,167.1,37.7,41.5,26.4,89.2,32.2
369.2246282806108,178.5,38.7,40.5,25.7,89.4,33.1
326.58689479366063,179.5,37.9,41.5,22.3,75.7,31.9
291.2066478576807,174.1,32.0,37.5,25.6,81.5,30.3
312.07192169172015,169.6,35.7,38.7,18.5,74.3,32.8
401.42972485054116,179.0,43.1,42.0,25.5,98.5,32.5
368.7710353711751,176.1,38.9,41.1,23.2,78.4,38.2
247.20813564242366,161.4,33.5,33.9,23.8,75.1,26.5
463.57195344322383,186.0,43.9,41.9,24.2,99.4,38.3
301.63928477470046,172.6,36.2,37.8,23.6,80.1,29.9
324.77252315591807,177.4,37.2,39.4,24.5,87.5,28.9
326.58689479366063,176.3,35.7,36.2,25.3,77.4,29.7
393.26505248069964,181.5,38.0,42.9,24.3,88.6,35.2
387.36834465803634,172.8,40.5,40.8,24.7,92.6,35.8
349.72013317487824,170.3,36.1,41.1,22.2,88.4,34.1
399.6153532127986,177.0,40.6,40.9,23.5,88.1,36.5
357.4312126352841,170.4,37.1,42.2,25.2,95.3,30.8
376.482114831581,175.7,39.6,41.6,24.0,92.8,33.2
371.49259282778894,175.0,38.1,37.5,23.7,94.9,33.2
307.53599259736376,179.8,34.4,41.1,23.3,77.7,31.6
414.58391922417474,180.7,41.9,40.1,24.0,92.5,36.0
244.94017109524546,162.3,33.8,37.5,20.4,69.4,27.1
332.9371955257596,165.4,37.0,37.1,23.4,85.4,31.9
359.2455842730267,184.7,40.0,41.4,21.1,82.6,28.3
314.793479148334,170.3,36.0,37.2,21.1,78.5,32.4
361.5135488202049,177.1,38.8,43.0,25.5,85.8,32.7
366.95666373343255,173.9,35.8,41.1,24.7,96.5,32.4
358.791991363591,177.5,36.0,41.0,22.5,87.3,32.5
407.32643267320447,170.1,39.0,39.6,23.7,99.6,38.5
304.8144351407499,176.6,37.1,39.2,22.6,76.9,29.5
403.6976893977194,179.7,38.6,40.4,27.8,97.8,33.6
387.821937567472,185.6,38.6,40.4,22.8,90.3,33.6
356.0704339069772,183.1,39.6,39.9,22.0,84.3,31.8
344.27701826165054,174.2,36.8,41.6,26.4,88.6,31.1
360.15277009189793,173.9,39.1,38.3,21.6,85.7,33.8
405.51206103546195,181.1,40.3,41.7,22.6,88.5,34.5
403.6976893977194,187.0,41.2,42.1,24.1,91.1,32.7
358.3383984541554,172.9,39.7,39.9,23.2,86.9,34.3
295.2889840426015,169.5,36.9,36.2,23.4,79.6,31.4
354.25606226923463,182.6,36.3,35.4,22.9,90.1,31.8
311.6183287822845,167.5,38.0,40.3,20.2,75.0,31.5
300.2785060463935,179.1,34.7,42.3,24.1,70.4,29.8
316.60785078607654,171.1,35.8,35.7,22.0,79.5,33.2
351.98809772205647,173.0,38.7,38.7,23.5,92.4,35.8
312.9791075105914,177.3,36.0,37.5,23.3,76.9,31.4
329.7620451597101,167.6,41.0,42.4,24.0,77.3,33.2
378.7500793787592,185.3,37.7,37.7,26.5,91.5,34.4
343.3698324427793,182.4,35.8,41.4,21.1,83.3,32.0
342.0090537144724,172.8,39.9,39.5,21.8,79.7,34.9
346.54498280882876,171.0,36.6,41.7,22.8,85.3,32.2
315.7006649672053,177.7,35.6,39.3,19.5,75.6,34.4
398.70816739392734,178.9,39.9,39.2,22.6,93.8,35.7
412.76954758643217,170.8,39.4,38.8,25.4,95.9,34.7
308.443178416235,174.6,34.8,39.8,23.8,78.3,32.1
434.0884143299072,173.8,41.7,41.0,23.6,96.5,36.8
351.98809772205647,171.9,37.5,39.5,24.0,91.0,31.9
309.3503642351063,173.5,34.6,38.0,21.9,86.9,29.8
342.46264662390803,177.2,37.7,38.4,20.6,78.4,35.4
465.3863250809664,187.3,41.9,41.8,24.2,94.4,40.7
294.3817982237302,169.7,37.4,41.0,22.5,73.4,32.0
339.74108916729415,175.8,37.9,39.5,21.4,82.4,33.2
376.482114831581,181.7,38.0,38.3,23.3,89.8,35.2
475.8189619979861,187.0,42.3,42.5,28.1,105.1,37.8
424.1093703223232,186.8,39.2,42.0,23.3,93.7,34.7
321.5973727898686,178.4,35.6,40.1,22.5,82.6,28.9
365.14229209569,176.3,39.5,39.7,23.5,86.0,34.3
364.6886991862543,174.9,39.7,39.9,25.0,91.0,32.0
351.98809772205647,175.2,38.6,39.6,24.6,87.0,31.2
337.9267175295516,178.4,36.1,40.3,24.4,88.3,33.2
308.89677132567067,176.9,34.9,39.6,21.4,79.5,30.3
400.5225390316699,177.6,40.4,40.1,22.9,99.9,34.4
325.6797089747893,173.3,36.7,39.4,24.4,87.4,32.2
362.42073463907616,178.4,40.0,38.9,22.3,80.7,33.5
307.53599259736376,171.5,37.3,37.4,21.3,81.9,31.0
311.6183287822845,177.8,37.0,41.3,21.5,76.5,28.5
423.20218450345186,175.7,40.6,41.4,25.2,101.0,36.2
378.7500793787592,178.0,35.8,40.6,23.7,95.3,33.2
299.8249131369579,179.4,35.0,38.5,23.2,73.5,28.8
346.9985757182644,175.2,38.1,40.2,22.9,82.0,33.7
299.37132022752223,180.5,35.8,40.5,22.6,75.0,26.8
368.7710353711751,180.3,37.6,39.2,23.9,85.2,33.3
366.95666373343255,185.5,37.3,40.6,23.9,84.4,37.1
318.4222224238191,186.4,35.3,43.7,23.6,80.9,30.3
278.95963930291845,171.4,34.2,39.2,23.7,74.2,29.2
395.53301702787786,180.3,39.0,39.3,25.2,93.3,37.5
361.5135488202049,176.2,39.7,41.6,22.0,85.3,32.8
472.6438116319366,182.3,42.3,41.8,28.4,104.7,35.6
309.8039571445419,177.9,35.6,39.6,22.1,77.9,31.0
392.3578666618284,189.4,41.3,40.0,23.3,91.7,33.4
417.30547668078856,176.2,39.9,40.7,25.8,104.3,37.1
411.8623617675609,188.2,40.4,44.1,24.8,87.9,41.8
342.46264662390803,183.6,37.5,40.4,22.1,81.3,31.0
308.443178416235,166.0,38.0,37.0,22.6,80.7,30.7
316.60785078607654,167.3,38.7,38.8,23.8,85.2,32.5
365.59588500512564,187.1,37.6,40.5,23.8,84.2,31.7
386.9147517486007,174.6,38.5,42.8,22.8,98.5,34.2
332.0300097068883,174.9,37.5,38.8,21.2,78.2,33.8
365.59588500512564,173.0,39.0,40.5,24.2,87.8,34.3
360.15277009189793,177.2,38.3,36.8,22.3,88.2,32.9
273.51652438969074,162.9,33.5,37.1,22.1,75.1,30.0
275.78448893686897,165.4,34.5,37.2,23.7,74.5,30.9
398.70816739392734,179.2,38.2,41.9,25.3,100.6,34.0
348.35935444657133,183.9,38.5,41.6,22.9,82.2,31.5
336.11234589180907,168.9,37.5,38.7,23.5,84.2,33.4
315.7006649672053,176.2,34.6,38.5,23.9,81.3,30.0
335.6587529823734,175.6,34.6,38.4,22.8,88.5,32.5
306.62880677849245,170.4,35.8,38.1,24.0,83.1,31.2
383.7396013825512,182.6,41.1,41.2,27.2,85.7,33.3
362.8743275485118,172.3,37.6,43.7,25.6,96.3,33.9
369.6782211900464,175.7,38.5,40.2,26.8,95.9,31.7
400.06894612223425,183.4,41.8,39.5,23.6,90.7,34.0
294.3817982237302,175.1,36.7,41.6,24.0,75.9,30.7
387.36834465803634,167.8,41.0,40.5,21.0,90.8,37.2
338.38031043898724,175.8,36.0,40.8,19.5,78.5,34.0
286.21712585388866,163.8,34.5,40.2,21.9,79.2,33.0
258.094365468879,165.1,34.2,36.5,23.3,72.7,27.4
289.8458691293738,171.5,33.3,37.8,22.9,75.9,29.3
316.1542578766409,167.1,38.6,40.7,26.3,87.5,31.0
399.161760303363,175.4,40.7,40.3,23.0,91.8,35.2
426.37733486950134,178.6,41.4,40.1,21.4,92.7,37.0
552.0225707831736,194.2,42.5,41.0,27.8,108.8,40.5
298.0105414992153,168.5,33.7,37.0,21.8,80.5,30.0
326.133301884225,180.4,37.5,34.6,23.5,89.2,30.5
