bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
ANSURI_mal_0001,86.55,171.35,45.83,105.02,95.36,103.21,120.97,61.79,41.7,39.6,22.37,31.16,17.56,13.76,59.75,27.09,78.7,39.47,41.33,27.32,57.65,0.0,0.0
ANSURI_mal_0002,87.41,182.93,42.18,102.07,95.22,104.45,116.85,60.45,39.24,39.82,24.54,29.05,18.1,14.61,61.88,28.32,90.16,42.3,43.75,25.29,58.92,0.0,0.0
ANSURI_mal_0003,72.38,171.26,41.56,98.31,83.22,96.85,116.18,56.79,37.42,35.87,20.68,27.84,16.61,15.44,57.65,26.23,79.06,40.79,39.75,23.48,57.37,0.0,0.0
ANSURI_mal_0004,80.34,177.05,42.49,96.12,86.76,100.03,112.54,60.41,41.11,40.87,23.34,30.29,17.42,14.01,60.61,27.72,83.44,43.46,41.56,23.81,59.37,0.0,0.0
ANSURI_mal_0005,74.4,165.43,40.98,102.67,93.75,97.14,112.96,57.58,39.3,37.71,21.38,28.74,16.15,14.46,55.42,26.19,78.21,39.5,36.69,26.47,54.86,0.0,0.0
ANSURI_mal_0006,60.74,176.56,37.66,92.02,74.32,88.13,108.6,50.21,33.98,32.3,20.65,28.13,16.03,14.77,61.76,27.54,91.01,40.72,45.16,20.76,55.43,0.0,0.0
ANSURI_mal_0007,83.93,178.03,42.22,100.55,96.03,103.16,119.3,59.0,40.19,35.83,21.2,29.71,17.41,16.09,57.91,26.84,82.9,40.54,40.1,24.74,59.77,0.0,0.0
ANSURI_mal_0008,82.57,181.03,40.3,97.04,90.74,102.59,115.72,59.97,41.16,38.66,23.34,28.05,16.65,15.45,62.63,28.3,85.42,44.3,41.98,23.18,54.97,0.0,0.0
ANSURI_mal_0009,81.46,174.07,42.92,101.64,90.78,101.29,121.79,60.25,39.57,36.59,22.52,29.03,16.99,16.77,59.96,26.91,82.76,42.19,41.66,25.88,56.66,0.0,0.0
ANSURI_mal_0010,80.72,165.01,41.6,105.3,91.66,105.17,119.14,63.21,42.69,37.38,22.77,31.18,17.1,14.33,59.11,27.53,79.75,38.96,39.44,25.3,56.57,0.0,0.0
ANSURI_mal_0011,81.13,168.86,44.31,103.29,94.14,102.3,117.09,59.74,41.01,38.94,22.4,30.21,17.88,12.91,58.31,25.93,79.73,38.69,40.02,25.41,57.92,0.0,0.0
ANSURI_mal_0012,87.29,171.74,41.96,104.75,91.61,107.07,118.56,67.92,44.02,39.72,22.67,32.08,16.87,12.76,61.56,28.52,83.62,38.0,42.47,25.77,56.49,0.0,0.0
