Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1872,156.46,44.64693367,647,564,540.0,1422.0,1385.0,1393,790,317,815.0,622,907,15.0,20.0,0.518696581,0.973980309,1.005776173
1829,101.59,30.36851456,529,489,415.0,1105.0,1002.0,1149,645,288,818.0,580,892,21.0,31.5,0.525970476,0.90678733,1.146706587
1731,91.16,30.42357046,547,479,387.0,1052.0,929.0,1160,654,277,744.0,537,842,13.0,35.0,0.540727903,0.883079848,1.248654467
1828,79.37,23.75220853,477,445,361.0,1019.0,895.0,988,593,263,838.0,589,856,19.0,20.0,0.511487965,0.878312071,1.103910615
1762,88.89,28.63130201,512,499,387.0,1046.0,934.0,1052,587,273,794.0,550,859,8.0,24.0,0.52553916,0.89292543,1.12633833
1806,97.96,30.03400747,519,495,409.0,1099.0,984.0,1092,636,279,807.0,555,879,20.0,26.0,0.526024363,0.895359418,1.109756098
1702,78.68,27.16096774,495,417,388.0,1036.0,896.0,1041,598,254,730.0,510,813,13.0,25.0,0.542890717,0.864864865,1.161830357
1705,63.49,21.84019745,452,396,338.0,932.0,771.0,900,548,262,790.0,539,831,11.0,14.0,0.507917889,0.827253219,1.167315175
1836,74.83,22.19884565,493,452,334.0,916.0,769.0,953,550,240,870.0,594,881,10.0,11.0,0.509803922,0.839519651,1.239271782
1771,86.17,27.47381507,519,462,394.0,1052.0,943.0,1088,599,257,790.0,543,843,9.0,23.0,0.530773574,0.896387833,1.153764581
1829,99.77,29.82445809,539,451,411.0,1085.0,1005.0,1171,628,279,795.0,588,890,11.0,18.0,0.514488792,0.926267281,1.165174129
1704,82.77,28.50583548,539,452,380.0,1012.0,845.0,1042,614,245,768.0,537,818,6.5,0.0,0.524647887,0.834980237,1.233136095
1712,69.61,23.75002729,489,397,380.0,956.0,846.0,998,559,248,786.0,540,815,11.0,11.0,0.51635514,0.884937238,1.179669031
1680,90.02,31.89484127,550,489,376.0,1063.0,966.0,1122,641,258,746.0,534,838,6.5,0.0,0.520238095,0.908748824,1.161490683
1637,69.16,25.80819466,497,438,353.0,985.0,846.0,945,570,235,721.0,512,831,12.5,9.5,0.506414172,0.858883249,1.117021277
1819,81.41,24.60437608,493,442,380.0,1038.0,885.0,1015,590,262,824.0,567,861,8.0,13.5,0.522264981,0.852601156,1.146892655
1714,77.32,26.31905006,489,459,376.0,1034.0,863.0,988,620,257,804.0,560,806,9.0,0.0,0.498249708,0.834622824,1.144843569
1840,93.88,27.72920605,561,480,392.0,1040.0,925.0,1097,609,271,807.0,571,870,12.0,23.0,0.538043478,0.889423077,1.185945946
1854,76.64,22.2964662,512,439,335.0,943.0,758.0,1022,571,262,856.0,592,893,2.0,13.5,0.515641855,0.803817603,1.34828496
1803,93.42,28.73746197,541,441,427.0,1171.0,919.0,1072,672,265,823.0,572,865,30.0,22.0,0.516916251,0.784799317,1.16648531
1753,63.72,20.73537695,459,382,338.0,912.0,740.0,822,489,277,799.0,555,846,6.0,10.5,0.520250998,0.811403509,1.110810811
1721,78.0,26.33497207,500,422,379.0,994.0,854.0,950,594,262,749.0,526,824,8.0,19.0,0.538059268,0.85915493,1.112412178
1765,74.15,23.80245408,507,444,372.0,989.0,831.0,999,571,264,809.0,561,857,6.0,8.5,0.520113314,0.840242669,1.202166065
1655,75.28,27.48423253,513,442,376.0,1004.0,945.0,1013,594,246,749.0,524,785,15.0,24.0,0.510574018,0.94123506,1.071957672
1799,70.52,21.78963608,494,415,362.0,946.0,776.0,946,536,249,837.0,562,856,7.5,9.0,0.520289049,0.820295983,1.219072165
1857,116.1,33.66730956,609,508,415.0,1128.0,1015.0,1223,663,292,833.0,603,922,14.0,22.5,0.499730749,0.899822695,1.204926108
1886,103.4,29.06947323,534,458,425.0,1112.0,1018.0,1133,638,274,830.0,596,891,8.0,19.5,0.515906681,0.915467626,1.112966601
1926,89.34,24.08426419,512,473,398.0,1040.0,927.0,1012,594,272,883.0,594,895,10.5,21.0,0.514018692,0.891346154,1.091693635
1791,90.48,28.20729368,561,488,387.0,1026.0,899.0,1085,630,257,791.0,561,837,4.0,0.0,0.538805137,0.876218324,1.206896552
1736,78.23,25.95815902,495,409,386.0,1035.0,793.0,995,601,266,779.0,537,837,7.0,15.0,0.533986175,0.766183575,1.254728878
1810,85.94,26.23241049,490,437,404.0,1089.0,900.0,973,622,272,787.0,558,831,16.5,13.0,0.544751381,0.826446281,1.081111111
1879,97.51,27.61821437,528,469,396.0,1059.0,936.0,1079,617,283,861.0,606,874,16.0,26.0,0.519425226,0.883852691,1.152777778
1816,138.1,41.87569136,630,529,464.0,1291.0,1186.0,1324,765,284,795.0,578,894,19.0,44.0,0.537995595,0.918667699,1.116357504
1818,77.55,23.46356748,494,451,362.0,1004.0,831.0,960,576,264,850.0,577,822,8.0,7.0,0.514851485,0.827689243,1.155234657
1694,73.92,25.7593646,480,389,358.0,968.0,822.0,981,573,258,756.0,528,801,13.0,11.5,0.536009445,0.849173554,1.193430657
1705,65.08,22.38714837,444,397,358.0,978.0,758.0,862,577,239,761.0,527,772,14.0,12.5,0.536070381,0.775051125,1.137203166
1827,89.12,26.69918983,528,487,399.0,1070.0,970.0,1092,599,278,830.0,592,870,8.0,19.5,0.513409962,0.906542056,1.125773196
1859,113.15,32.74128941,588,514,419.0,1111.0,1060.0,1261,626,268,835.0,600,877,15.0,30.0,0.513717052,0.95409541,1.189622642
1887,109.3,30.69561659,575,500,452.0,1159.0,1092.0,1163,679,270,885.0,615,936,28.0,29.5,0.505034446,0.942191544,1.065018315
1800,87.53,27.0154321,532,450,375.0,1027.0,923.0,1054,618,275,840.0,567,892,14.0,13.5,0.516666667,0.898734177,1.141928494
1732,77.1,25.70150782,490,436,411.0,1068.0,945.0,970,597,256,747.0,530,805,15.5,22.0,0.541570439,0.884831461,1.026455026
1825,85.94,25.80296491,490,421,402.0,1063.0,915.0,999,626,270,839.0,578,872,12.5,16.0,0.520547945,0.860771402,1.091803279
1657,80.95,29.48301112,530,476,357.0,1017.0,884.0,1017,640,252,725.0,545,815,7.0,0.0,0.529873265,0.869223206,1.150452489
1779,76.87,24.28873994,529,443,366.0,962.0,840.0,972,576,258,796.0,561,831,4.0,13.0,0.528386734,0.873180873,1.157142857
1848,136.28,39.90508049,608,504,471.0,1385.0,1277.0,1314,733,269,779.0,598,898,18.0,42.0,0.5254329,0.922021661,1.028974158
1871,92.06,26.29804084,515,447,383.0,1035.0,1010.0,1079,609,270,873.0,598,886,13.0,19.5,0.508818813,0.975845411,1.068316832
1759,84.58,27.33606522,524,452,368.0,1060.0,820.0,996,647,267,832.0,552,856,8.0,13.0,0.515065378,0.773584906,1.214634146
1905,95.46,26.30458594,505,469,400.0,1052.0,983.0,1084,604,264,849.0,599,934,12.0,10.5,0.521259843,0.934410646,1.102746694
1729,94.1,31.47745682,503,435,408.0,1119.0,957.0,1086,625,272,755.0,561,836,14.0,25.0,0.529786003,0.855227882,1.134796238
1710,63.27,21.6374269,469,388,342.0,923.0,779.0,939,496,249,755.0,534,843,7.5,11.0,0.532163743,0.843986999,1.205391528
1826,96.6,28.97180677,512,482,402.0,1099.0,963.0,1123,616,280,843.0,601,897,7.5,29.0,0.507119387,0.876251137,1.166147456
