weight,stature,calf_circumference,biacromial_breadth,bicristal_breadth,waist_circumference,biceps_circumference_flexed
797.0,1666.0,396.0,351.0,238.0,1007.0,330.0
497.0,1528.0,329.0,355.0,225.0,737.0,252.0
572.0,1567.0,350.0,353.0,224.0,742.0,254.0
745.0,1836.0,370.0,393.0,256.0,835.0,299.0
527.0,1546.0,353.0,341.0,211.0,722.0,275.0
548.0,1524.0,340.0,359.0,206.0,734.0,278.0
806.0,1836.0,403.0,376.0,229.0,798.0,325.0
625.0,1626.0,358.0,373.0,228.0,815.0,288.0
540.0,1549.0,328.0,336.0,218.0,762.0,272.0
485.0,1632.0,337.0,342.0,240.0,669.0,244.0
603.0,1662.0,360.0,380.0,225.0,705.0,279.0
538.0,1621.0,351.0,365.0,247.0,776.0,253.0
518.0,1648.0,314.0,350.0,225.0,677.0,252.0
609.0,1633.0,365.0,359.0,234.0,788.0,288.0
585.0,1646.0,342.0,369.0,207.0,700.0,260.0
750.0,1727.0,372.0,360.0,264.0,871.0,305.0
848.0,1636.0,432.0,377.0,274.0,1018.0,325.0
614.0,1626.0,336.0,336.0,252.0,824.0,270.0
578.0,1568.0,356.0,352.0,180.0,726.0,289.0
635.0,1617.0,374.0,363.0,188.0,829.0,283.0
571.0,1553.0,332.0,354.0,209.0,755.0,265.0
498.0,1535.0,331.0,338.0,233.0,817.0,262.0
543.0,1654.0,346.0,379.0,197.0,691.0,265.0
650.0,1656.0,358.0,360.0,248.0,857.0,262.0
443.0,1518.0,307.0,352.0,204.0,672.0,230.0
655.0,1642.0,348.0,355.0,227.0,818.0,305.0
674.0,1682.0,393.0,362.0,238.0,823.0,287.0
638.0,1700.0,343.0,396.0,227.0,757.0,292.0
552.0,1517.0,323.0,336.0,232.0,919.0,260.0
807.0,1645.0,364.0,385.0,226.0,1006.0,348.0
610.0,1683.0,343.0,342.0,227.0,784.0,256.0
677.0,1663.0,371.0,393.0,221.0,847.0,299.0
553.0,1681.0,320.0,349.0,222.0,748.0,252.0
487.0,1541.0,304.0,352.0,214.0,729.0,253.0
603.0,1627.0,332.0,371.0,225.0,853.0,293.0
737.0,1655.0,383.0,370.0,257.0,941.0,314.0
543.0,1620.0,358.0,310.0,236.0,688.0,265.0
610.0,1505.0,352.0,353.0,226.0,942.0,274.0
821.0,1795.0,383.0,355.0,237.0,995.0,294.0
683.0,1808.0,361.0,394.0,220.0,736.0,262.0
