weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
65.7,156.0,36.8,92.2,85.0,101.1,106.2,62.2,40.4,36.0,20.4,26.5,15.2,14.8,51.3,23.5,75.9,40.6,39.7,24.5,54.8,37.3,122.14817518248176
53.4,166.5,34.5,83.9,70.8,89.3,101.4,52.4,33.4,35.0,20.7,24.7,15.5,14.2,57.5,25.9,83.5,42.2,40.9,20.6,53.5,37.2,109.2950191570881
66.3,171.1,36.9,87.4,72.7,98.7,104.9,57.7,40.1,38.4,23.3,26.2,16.2,16.4,56.8,25.8,82.1,41.9,41.3,22.3,58.8,39.7,105.06271777003482
78.2,166.0,38.6,100.8,92.3,101.2,112.1,67.9,40.2,37.2,21.4,30.9,17.3,15.7,53.6,25.0,80.4,45.1,38.8,28.5,59.3,38.4,146.8907063197026
88.6,157.2,35.8,108.9,116.3,128.1,115.1,76.6,47.9,43.3,21.4,26.0,15.2,15.6,55.9,24.2,72.6,45.2,35.9,29.0,52.2,37.8,152.81704918032787
83.7,170.7,37.9,103.1,96.8,108.5,109.4,67.4,42.3,39.6,22.8,29.7,15.9,13.6,59.2,27.1,86.4,46.6,42.7,30.1,57.0,35.6,134.57263157894738
73.2,164.4,36.5,98.8,96.4,104.9,107.2,65.0,37.4,37.3,22.3,26.7,15.4,14.1,52.5,23.8,77.8,45.6,41.1,27.1,58.2,35.8,151.0431654676259
76.0,167.1,38.6,96.8,91.4,109.5,106.6,67.5,39.1,37.3,20.5,28.0,15.5,13.6,57.4,25.0,80.3,44.5,40.2,25.0,55.1,36.5,129.06666666666666
54.5,152.1,34.0,83.1,75.5,96.5,99.4,59.2,34.0,34.5,19.3,24.6,14.3,14.4,52.7,23.0,75.3,38.7,36.1,21.4,56.2,35.5,112.67796610169492
68.4,159.0,36.2,101.0,94.4,104.5,98.5,60.4,38.6,36.7,20.8,25.3,15.1,12.5,49.0,23.3,75.0,44.5,39.1,27.3,52.8,32.3,138.01027397260276
99.0,170.7,42.2,106.5,93.5,124.8,117.4,74.0,46.0,45.3,24.5,32.9,18.0,16.1,57.3,27.0,81.0,42.7,41.3,29.4,61.4,40.6,140.56565656565655
74.2,166.8,40.5,103.4,94.2,101.4,111.0,60.0,37.8,35.8,22.0,26.7,16.0,14.6,60.0,27.2,82.2,43.2,42.5,25.9,59.8,38.7,136.05263157894737
78.1,165.4,38.6,106.3,99.5,104.9,114.5,62.3,38.6,37.5,20.6,27.7,15.9,14.0,57.0,24.2,78.1,43.0,40.0,27.9,54.0,38.4,139.11744966442953
71.8,166.6,39.2,93.7,84.8,101.2,115.1,60.6,38.5,37.3,22.0,28.6,16.7,16.6,56.5,25.4,80.1,43.0,40.2,24.0,55.3,41.8,125.35972696245733
70.9,159.9,37.9,98.9,92.9,100.0,111.6,63.9,37.7,37.5,19.4,27.7,15.0,14.2,54.8,24.9,77.2,46.4,38.2,26.7,58.6,36.5,141.28571428571428
67.2,167.3,36.9,94.0,83.5,100.7,101.3,61.9,38.8,36.2,22.3,25.8,16.2,13.3,54.0,24.6,78.6,46.2,38.8,24.6,57.2,36.7,112.11636363636362
62.0,164.7,37.0,83.5,77.2,96.9,105.5,56.4,37.7,37.7,21.8,26.4,16.2,14.9,53.8,24.5,76.5,45.8,38.5,21.4,56.8,37.1,108.24074074074073
59.5,167.8,33.9,89.7,80.5,94.1,96.7,56.9,36.9,33.8,19.7,25.0,14.9,13.2,54.0,24.5,83.3,42.8,40.3,24.6,56.8,36.5,122.00574712643677
74.1,167.9,36.4,97.9,86.8,101.1,112.8,64.7,40.3,38.2,21.1,27.6,15.5,14.8,59.3,26.4,83.5,41.1,40.9,25.1,59.2,39.3,132.2972972972973
60.5,161.5,36.1,85.3,79.2,102.1,101.1,61.5,39.0,37.9,20.9,24.8,15.0,14.1,51.7,23.2,73.3,43.5,37.8,20.6,53.2,35.9,114.04925925925924
80.0,151.7,38.2,109.0,113.7,110.7,111.9,69.5,38.6,41.3,21.7,29.0,16.0,13.3,50.0,22.5,66.4,47.8,33.4,30.9,56.0,34.2,153.5909090909091
74.7,167.4,37.2,94.1,88.1,105.0,109.5,67.7,42.7,40.6,21.8,27.2,15.5,15.4,58.5,26.5,83.9,42.6,41.5,24.1,55.4,38.8,127.87108013937282
49.1,162.3,33.8,85.7,70.2,86.7,91.9,49.2,32.9,32.6,20.1,24.6,14.6,13.2,54.7,23.6,77.0,42.5,39.3,20.9,53.6,33.0,112.3934426229508
70.3,166.8,36.8,97.3,95.4,103.8,106.4,61.4,37.5,35.3,21.2,26.7,15.2,14.2,53.0,24.1,80.0,46.8,40.5,25.7,57.2,37.2,121.625
71.5,164.4,36.0,97.5,79.6,98.1,106.6,60.3,40.2,39.6,21.3,28.5,15.1,14.3,58.4,27.0,83.1,43.7,38.1,26.8,57.6,38.3,136.0054347826087
70.8,157.9,38.4,102.6,100.0,106.9,108.7,63.0,35.7,34.4,19.5,26.7,15.8,15.6,53.2,23.9,77.4,44.2,37.0,26.6,56.2,37.0,152.50408163265305
