Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1582,53.51,21.38070359,424,365,389.0,960.0,686.0,872,570,205,713.0,490,731,20.3,17.0,0.528445006,0.714583333,1.271137026
1590,100.68,39.82437404,520,455,530.0,1308.0,980.0,1212,749,240,686.0,496,765,31.0,47.0,0.53836478,0.749235474,1.236734694
1583,47.17,18.82365899,389,315,364.0,911.0,580.0,805,516,215,721.0,471,695,12.0,7.0,0.534428301,0.636663008,1.387931034
1576,62.36,25.10693396,466,410,377.0,987.0,782.0,997,562,239,684.0,483,721,17.0,22.0,0.547588832,0.792299899,1.274936061
1619,75.74,28.89559245,467,403,464.0,1132.0,795.0,958,705,238,716.0,495,773,28.0,24.0,0.541074737,0.70229682,1.205031447
1584,67.12,26.75109683,470,443,414.0,1054.0,809.0,987,600,246,678.0,481,745,18.0,23.0,0.54229798,0.767552182,1.220024722
1466,51.93,24.16297374,429,331,399.0,1002.0,735.0,921,599,215,674.0,461,698,23.0,21.0,0.53478854,0.733532934,1.253061224
1721,76.42,25.80152007,481,401,423.0,1065.0,810.0,984,650,252,798.0,545,809,27.0,33.0,0.52353283,0.76056338,1.214814815
1601,54.88,21.41072823,436,385,360.0,934.0,683.0,872,556,225,732.0,505,775,16.0,14.0,0.52529669,0.731263383,1.276720351
1740,63.27,20.89774078,434,382,361.0,942.0,727.0,941,555,239,865.0,554,804,10.0,19.0,0.499425287,0.771762208,1.294360385
1611,60.09,23.15320533,436,374,384.0,988.0,720.0,911,574,229,721.0,491,754,20.0,15.0,0.540037244,0.728744939,1.265277778
1647,60.09,22.15210522,434,402,389.0,975.0,663.0,872,577,238,742.0,497,735,8.5,13.0,0.548876746,0.68,1.315233786
1645,65.53,24.21633207,466,390,375.0,952.0,843.0,1000,545,238,735.0,501,788,17.0,33.0,0.537386018,0.885504202,1.18623962
1625,51.93,19.66579882,410,334,364.0,953.0,611.0,785,549,210,772.0,504,762,24.5,25.0,0.530461538,0.641133263,1.284779051
1627,51.02,19.27371125,415,353,365.0,930.0,708.0,838,526,222,754.0,495,752,16.0,15.0,0.53472649,0.761290323,1.183615819
1645,63.72,23.54745429,441,368,421.0,1035.0,679.0,910,611,237,724.0,494,802,16.0,14.0,0.544680851,0.656038647,1.340206186
1557,65.76,27.12592642,449,389,453.0,1075.0,700.0,990,652,226,702.0,489,752,18.0,15.0,0.531791908,0.651162791,1.414285714
1669,58.73,21.08372425,424,365,381.0,969.0,661.0,885,531,243,749.0,522,771,15.0,9.0,0.540443379,0.682146543,1.338880484
1622,54.88,20.85990868,431,354,391.0,957.0,647.0,844,551,218,789.0,520,804,16.0,13.0,0.503082614,0.676071055,1.304482226
1740,78.0,25.76298058,465,390,435.0,1097.0,879.0,1064,624,246,778.0,531,795,21.0,25.0,0.538505747,0.801276208,1.210466439
1616,93.2,35.68890305,496,487,487.0,1210.0,955.0,1102,766,250,710.0,520,779,32.5,37.5,0.529084158,0.789256198,1.153926702
1671,70.07,25.09453876,469,379,433.0,1067.0,747.0,1009,629,238,762.0,527,778,22.0,22.0,0.521843208,0.700093721,1.350736278
1679,51.25,18.17994133,416,342,359.0,895.0,706.0,881,479,221,808.0,517,757,12.5,15.0,0.510422871,0.788826816,1.247875354
1634,56.46,21.1464159,405,343,376.0,958.0,681.0,834,560,238,756.0,508,785,9.0,11.0,0.524479804,0.71085595,1.224669604
1582,69.84,27.90559406,473,398,433.0,1103.0,817.0,991,659,234,729.0,500,764,23.0,28.0,0.515802781,0.740707162,1.212974296
1546,59.64,24.9527638,432,408,401.0,1019.0,716.0,900,589,226,700.0,498,733,21.0,13.0,0.525873221,0.702649657,1.25698324
1610,79.37,30.61996065,489,392,431.0,1129.0,879.0,1073,661,240,690.0,484,758,22.0,23.0,0.537888199,0.778565102,1.220705347
