_______________________________________________________________________________
Measurement          |Basic-Input     |Predicted-Input |3D Avatar-Output (δ%)
_______________________________________________________________________________
weight_kg            |75.2            |75.2            |80.4    (6.5  %) 
stature_cm           |166.2           |166.2           |166.5   (0.1  %) 
neck_base_girth      |0.0             |43.1            |43.3    (0.5  %) 
chest_girth          |111.1           |111.1           |110.3   (0.7  %) 
waist_girth          |94.4            |94.4            |94.2    (0.2  %) 
hips_buttock_girth   |100.7           |100.7           |100.0   (0.7  %) 
shoulder_girth       |123.6           |123.6           |122.7   (0.7  %) 
thigh_girth          |62.5            |62.5            |61.3    (1.9  %) 
thigh_low_girth      |0.0             |38.6            |38.6    (0.0  %) 
calf_girth           |0.0             |37.0            |36.7    (0.6  %) 
ankle_girth          |0.0             |21.3            |21.2    (0.7  %) 
forearm_girth        |0.0             |30.6            |30.2    (1.3  %) 
wrist_girth          |0.0             |16.9            |16.7    (1.0  %) 
shoulder_length      |0.0             |15.5            |15.4    (0.5  %) 
sleeveoutseam_length |56.5            |56.5            |56.1    (0.6  %) 
forearm_length       |0.0             |25.6            |25.4    (0.5  %) 
crotchheight_length  |80.3            |80.3            |80.2    (0.1  %) 
waistback_length     |46.5            |46.5            |45.9    (1.2  %) 
thigh_length         |0.0             |38.7            |38.8    (0.1  %) 
chest_depth_length   |0.0             |26.3            |26.4    (0.2  %) 
head_girth           |0.0             |56.8            |56.7    (0.2  %) 
_______________________________________________________________________________
