_______________________________________________________________________________
Measurement          |Basic-Input     |Predicted-Input |3D Avatar-Output (δ%)
_______________________________________________________________________________
weight_kg            |75.2            |75.2            |80.8    (7.0  %) 
stature_cm           |166.2           |166.2           |166.3   (0.1  %) 
neck_base_girth      |0.0             |43.1            |43.4    (0.6  %) 
chest_girth          |111.7           |111.7           |110.8   (0.7  %) 
waist_girth          |94.7            |94.7            |94.6    (0.1  %) 
hips_buttock_girth   |101.1           |101.1           |100.4   (0.7  %) 
shoulder_girth       |123.7           |123.7           |122.9   (0.7  %) 
thigh_girth          |62.6            |62.6            |61.5    (1.8  %) 
thigh_low_girth      |0.0             |38.6            |38.6    (0.1  %) 
calf_girth           |0.0             |36.9            |36.7    (0.7  %) 
ankle_girth          |0.0             |21.3            |21.1    (0.7  %) 
forearm_girth        |0.0             |30.5            |30.1    (1.3  %) 
wrist_girth          |0.0             |16.8            |16.7    (1.0  %) 
shoulder_length      |0.0             |15.5            |15.5    (0.5  %) 
sleeveoutseam_length |56.0            |56.0            |55.7    (0.6  %) 
forearm_length       |0.0             |25.3            |25.2    (0.5  %) 
crotchheight_length  |79.9            |79.9            |79.8    (0.1  %) 
waistback_length     |46.5            |46.5            |45.9    (1.1  %) 
thigh_length         |0.0             |38.6            |38.6    (0.1  %) 
chest_depth_length   |0.0             |26.5            |26.5    (0.2  %) 
head_girth           |0.0             |56.7            |56.7    (0.2  %) 
_______________________________________________________________________________
